code,parent_code,group_el,description_el,tier_label_el,price_type,base_amount,hourly_amount,price_raw,load_status,source
SHSO-ER34,,ΔΙΑΣΩΛΗΝΩΣΗ & ΕΝΔΟΤΡΑΧΕΙΑΚΟΙ ΣΩΛΗΝΕΣ/ΧΟΡΗΓΗΣΗ ΟΞΥΓΟΝΟΥ/ΕΙΣΠΝΕΟΜΕΝΑ,Διασωλήνωση & ενδοτραχειακοί σωλήνες/ λαρυγγική μάσκα αεραγωγών/ταχεία εισαγωγή,,fixed,400.00,,400,OK,
SHSO-ER35,,ΔΙΑΣΩΛΗΝΩΣΗ & ΕΝΔΟΤΡΑΧΕΙΑΚΟΙ ΣΩΛΗΝΕΣ/ΧΟΡΗΓΗΣΗ ΟΞΥΓΟΝΟΥ/ΕΙΣΠΝΕΟΜΕΝΑ,Συνεχής θετική πίεση των αεραγωγών/ρινική διακοπτόμενη θετική πίεση παροχής αέρα/χειροκίνητη μάσκα παροχής θετικής πίεσης αερισμού,,fixed,300.00,,300,OK,
SHSO-ER36,,ΔΙΑΣΩΛΗΝΩΣΗ & ΕΝΔΟΤΡΑΧΕΙΑΚΟΙ ΣΩΛΗΝΕΣ/ΧΟΡΗΓΗΣΗ ΟΞΥΓΟΝΟΥ/ΕΙΣΠΝΕΟΜΕΝΑ,Νεφελοποιητής/ αεροθάλαμος,,fixed,20.00,,20 €,OK,
SHSO-ER37,,ΚΑΡΔΙΟΧΕΙΡΟΥΡΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Περικαρδιοκέντηση,,fixed,100.00,,100,OK,
SHSO-ER38,,ΚΑΡΔΙΟΧΕΙΡΟΥΡΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Πνευμονική Παροχέτευση,,fixed,60.00,,60,OK,
SHSO-ER39,,ΕΓΧΥΣΗ ΥΓΡΩΝ / ΜΕΤΑΓΓΙΣΗ,Έγχυση υγρών,,fixed_plus_hourly,20.00,5.00,20€   / συν 5€  ανά ωρα,OK,
SHSO-ER40,,ΑΞΙΟΛΟΓΗΣΗ/ ΔΙΑΧΕΙΡΙΣΗ ΠΛΗΓΩΝ – ΤΡΑΥΜΑΤΩΝ – ΕΓΚΑΥΜΑΤΩΝ,Καθαρισμός πληγής,,fixed,115.00,,115,OK,
SHSO-ER41,,ΑΞΙΟΛΟΓΗΣΗ/ ΔΙΑΧΕΙΡΙΣΗ ΠΛΗΓΩΝ – ΤΡΑΥΜΑΤΩΝ – ΕΓΚΑΥΜΑΤΩΝ,Αλλαγή πληγής μεγάλου τραύματος/ εγκαύματος,,fixed,60.00,,60,OK,
SHSO-ER42,,ΑΞΙΟΛΟΓΗΣΗ/ ΔΙΑΧΕΙΡΙΣΗ ΠΛΗΓΩΝ – ΤΡΑΥΜΑΤΩΝ – ΕΓΚΑΥΜΑΤΩΝ,Αφαίρεση ξένου σώματος,,fixed,85.00,,85,OK,
SHSO-ER43,,ΑΞΙΟΛΟΓΗΣΗ/ ΔΙΑΧΕΙΡΙΣΗ ΠΛΗΓΩΝ – ΤΡΑΥΜΑΤΩΝ – ΕΓΚΑΥΜΑΤΩΝ,Μικρό Χειρουργείο,,fixed,150.00,,150,OK,
SHSO-ER44,,ΘΡΟΜΒΟΛΥΣΗ,"Θρομβόλυση σε ΑΕΕ , Πνευμονική Εμβολή και Οξύ Εμφραγμα Μυοκαρδίου",,fixed,345.00,,345,OK,
SHSO-ER45,,ΘΡΟΜΒΟΛΥΣΗ,Παρεντερική θρομβόλυση - με στρεπτοκινάση,,fixed,345.00,,345,OK,
SHSO-ER46,,ΑΛΛΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Έλεγχος επίσταξης,,fixed,40.00,,40,OK,
SHSO-ER47,,ΑΛΛΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,"Θεραπευτικό πλύσιμο οργάνου (πλύση), εμετός, ενεργός άνθρακας",,fixed,150.00,,150,OK,
SHSO-ER48,,ΑΛΛΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Οσφυονωτιαία παρακέντηση,,fixed,800.00,,800,OK,
